+----------+------------------------+
|  Number  |       Multipliers      |
+----------+------------------------+
| 104      | 2^3 * 13               |
| 4234     | 2 * 29 * 73            |
| 542      | 2 * 271                |
| 14324    | 2^2 * 3581             |
| 123213   | 3 * 67 * 613           |
| 654452   | 2^2 * 163613           |
| 42304    | 2^6 * 661              |
| 695006   | 2 * 13 * 26731         |
| 5454     | 2 * 3^3 * 101          |
| 545      | 5 * 109                |
| 912312   | 2^3 * 3^2 * 12671      |
| 5434324  | 2^2 * 7 * 194083       |
| 900984   | 2^3 * 3 * 7 * 31 * 173 |
| 423423   | 3^2 * 7 * 11 * 13 * 47 |
| 43242    | 2 * 3 * 7207           |
| 123123   | 3 * 7 * 11 * 13 * 41   |
| 52453    | 52453                  |
| 12312    | 2^3 * 3^4 * 19         |
| 4423     | 4423                   |
| 31243643 | 29 * 101 * 10667       |
+----------+------------------------+

